eDensity_Vg=0.15V X,eDensity_Vg=0.15V Y,eDensity_Vg=0.3V X,eDensity_Vg=0.3V Y,eDensity_Vg=0.45V X,eDensity_Vg=0.45V Y,eDensity_Vg=0.6V X,eDensity_Vg=0.6V Y,eDensity_Vg=0.75V X,eDensity_Vg=0.75V Y,eDensity_Vg=0V X,eDensity_Vg=0V Y
0.0053125001,0,0.0053125001,0,0.0053125001,0,0.0053125001,0,0.0053125001,0,0.0053125001,0
0.005390625,0,0.005390625,0,0.005390625,0,0.005390625,0,0.005390625,0,0.005390625,0
0.0054687499,0,0.0054687499,0,0.0054687499,0,0.0054687499,0,0.0054687499,0,0.0054687499,0
0.0055468748,0,0.0055468748,0,0.0055468748,0,0.0055468748,0,0.0055468748,0,0.0055468748,0
0.0056250002,0,0.0056250002,0,0.0056250002,0,0.0056250002,0,0.0056250002,0,0.0056250002,0
0.0057031251,0,0.0057031251,0,0.0057031251,0,0.0057031251,0,0.0057031251,0,0.0057031251,0
0.0057812501,0,0.0057812501,0,0.0057812501,0,0.0057812501,0,0.0057812501,0,0.0057812501,0
0.005859375,0,0.005859375,0,0.005859375,0,0.005859375,0,0.005859375,0,0.005859375,0
0.0059374999,0,0.0059374999,0,0.0059374999,0,0.0059374999,0,0.0059374999,0,0.0059374999,0
0.0060000001,0,0.0060000001,0,0.0060000001,0,0.0060000001,0,0.0060000001,0,0.0060000001,0

