eDensity_Vg=0.15V X,eDensity_Vg=0.15V Y,eDensity_Vg=0.3V X,eDensity_Vg=0.3V Y,eDensity_Vg=0.45V X,eDensity_Vg=0.45V Y,eDensity_Vg=0.6V X,eDensity_Vg=0.6V Y,eDensity_Vg=0.75V X,eDensity_Vg=0.75V Y,eDensity_Vg=0V X,eDensity_Vg=0V Y
0.0024999999,0,0.0024999999,0,0.0024999999,0,0.0024999999,0,0.0024999999,0,0.0024999999,0
0.0025195312,0,0.0025195312,0,0.0025195312,0,0.0025195312,0,0.0025195312,0,0.0025195312,0
0.0025781251,0,0.0025781251,0,0.0025781251,0,0.0025781251,0,0.0025781251,0,0.0025781251,0
0.0026367188,0,0.0026367188,0,0.0026367188,0,0.0026367188,0,0.0026367188,0,0.0026367188,0
0.0026953125,0,0.0026953125,0,0.0026953125,0,0.0026953125,0,0.0026953125,0,0.0026953125,0
0.0027539062,0,0.0027539062,0,0.0027539062,0,0.0027539062,0,0.0027539062,0,0.0027539062,0
0.0028125001,0,0.0028125001,0,0.0028125001,0,0.0028125001,0,0.0028125001,0,0.0028125001,0
0.0028710938,0,0.0028710938,0,0.0028710938,0,0.0028710938,0,0.0028710938,0,0.0028710938,0
0.0029296875,0,0.0029296875,0,0.0029296875,0,0.0029296875,0,0.0029296875,0,0.0029296875,0
0.0029882812,0,0.0029882812,0,0.0029882812,0,0.0029882812,0,0.0029882812,0,0.0029882812,0
0.0030468749,0,0.0030468749,0,0.0030468749,0,0.0030468749,0,0.0030468749,0,0.0030468749,0
0.0031054688,0,0.0031054688,0,0.0031054688,0,0.0031054688,0,0.0031054688,0,0.0031054688,0
0.0031640625,0,0.0031640625,0,0.0031640625,0,0.0031640625,0,0.0031640625,0,0.0031640625,0
0.0032226562,0,0.0032226562,0,0.0032226562,0,0.0032226562,0,0.0032226562,0,0.0032226562,0
0.0032812499,0,0.0032812499,0,0.0032812499,0,0.0032812499,0,0.0032812499,0,0.0032812499,0
0.0033398438,0,0.0033398438,0,0.0033398438,0,0.0033398438,0,0.0033398438,0,0.0033398438,0
0.0033984375,0,0.0033984375,0,0.0033984375,0,0.0033984375,0,0.0033984375,0,0.0033984375,0
0.0034570312,0,0.0034570312,0,0.0034570312,0,0.0034570312,0,0.0034570312,0,0.0034570312,0
0.0035000001,0,0.0035000001,0,0.0035000001,0,0.0035000001,0,0.0035000001,0,0.0035000001,0

